ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000010.SZ,19991205,9.05,,,,56.877,1474.4559,7.4772,3.1443,2.6186,,,14701.7448,4950.0874,4950.0874,133050.7904,44798.291
000010.SZ,19991206,9.02,0.3432,0.3432,1.18,56.6885,1469.5682,7.4524,3.1339,2.6099,,,14701.7448,4950.0874,4950.0874,132609.7381,44649.7883
000010.SZ,19991207,9.02,0.1491,0.1491,0.49,56.6885,1469.5682,7.4524,3.1339,2.6099,,,14701.7448,4950.0874,4950.0874,132609.7381,44649.7883
000010.SZ,19991208,8.91,0.3364,0.3364,1.13,55.9971,1451.6466,7.3615,3.0957,2.5781,,,14701.7448,4950.0874,4950.0874,130992.5462,44105.2787
000010.SZ,19991209,8.9,0.2236,0.2236,0.72,55.9343,1450.0174,7.3532,3.0922,2.5752,,,14701.7448,4950.0874,4950.0874,130845.5287,44055.7779
000010.SZ,19991211,8.9,,,,55.9343,1450.0174,7.3532,3.0922,2.5752,,,14701.7448,4950.0874,4950.0874,130845.5287,44055.7779
000010.SZ,19991212,8.9,,,,55.9343,1450.0174,7.3532,3.0922,2.5752,,,14701.7448,4950.0874,4950.0874,130845.5287,44055.7779
000010.SZ,19991213,8.84,0.457,0.457,1.58,55.5572,1440.242,7.3037,3.0714,2.5579,,,14701.7448,4950.0874,4950.0874,129963.424,43758.7726
000010.SZ,19991214,8.62,1.0376,1.0376,3.44,54.1746,1404.3989,7.1219,2.9949,2.4942,,,14701.7448,4950.0874,4950.0874,126729.0402,42669.7534
000010.SZ,19991215,8.78,0.8889,0.8889,2.02,55.1801,1430.4666,7.2541,3.0505,2.5405,,,14701.7448,4950.0874,4950.0874,129081.3193,43461.7674
000010.SZ,19991216,8.46,0.806,0.806,1.37,53.169,1378.3312,6.9897,2.9394,2.4479,,,14701.7448,4950.0874,4950.0874,124376.761,41877.7394
000010.SZ,19991217,8.19,2.0452,2.0452,3.0,51.4721,1334.3419,6.7666,2.8455,2.3698,,,14701.7448,4950.0874,4950.0874,120407.2899,40541.2158
000010.SZ,19991218,8.19,,,,51.4721,1334.3419,6.7666,2.8455,2.3698,,,14701.7448,4950.0874,4950.0874,120407.2899,40541.2158
000010.SZ,19991219,8.19,,,,51.4721,1334.3419,6.7666,2.8455,2.3698,,,14701.7448,4950.0874,4950.0874,120407.2899,40541.2158
000010.SZ,19991220,8.19,,,,51.4721,1334.3419,6.7666,2.8455,2.3698,,,14701.7448,4950.0874,4950.0874,120407.2899,40541.2158
000010.SZ,19991221,7.95,0.7812,0.7812,0.75,49.9638,1295.2403,6.5683,2.7622,2.3003,,,14701.7448,4950.0874,4950.0874,116878.8712,39353.1948
000010.SZ,19991222,7.71,0.4982,0.4982,0.45,48.4554,1256.1387,6.37,2.6788,2.2309,,,14701.7448,4950.0874,4950.0874,113350.4524,38165.1739
000010.SZ,19991223,7.41,0.6776,0.6776,0.67,46.57,1207.2617,6.1222,2.5745,2.1441,,,14701.7448,4950.0874,4950.0874,108939.929,36680.1476
000010.SZ,19991224,7.45,0.4968,0.4968,0.52,46.8214,1213.7786,6.1552,2.5884,2.1557,,,14701.7448,4950.0874,4950.0874,109527.9988,36878.1511
000010.SZ,19991225,7.45,,,,46.8214,1213.7786,6.1552,2.5884,2.1557,,,14701.7448,4950.0874,4950.0874,109527.9988,36878.1511
000010.SZ,19991226,7.45,,,,46.8214,1213.7786,6.1552,2.5884,2.1557,,,14701.7448,4950.0874,4950.0874,109527.9988,36878.1511
000010.SZ,19991227,7.04,1.4182,1.4182,1.58,44.2447,1146.9801,5.8165,2.446,2.037,,,14701.7448,4950.0874,4950.0874,103500.2834,34848.6153
000010.SZ,19991228,7.23,0.6121,0.6121,0.79,45.4388,1177.9355,5.9735,2.512,2.092,,,14701.7448,4950.0874,4950.0874,106293.6149,35789.1319
000010.SZ,19991229,7.28,0.3483,0.3483,0.47,45.753,1186.0817,6.0148,2.5294,2.1065,,,14701.7448,4950.0874,4950.0874,107028.7021,36036.6363
000010.SZ,19991230,7.35,0.2248,0.2248,0.32,46.1929,1197.4863,6.0726,2.5537,2.1267,,,14701.7448,4950.0874,4950.0874,108057.8243,36383.1424
000010.SZ,19991231,7.35,,,,46.1929,1197.4863,6.0726,2.5537,2.1267,,,14701.7448,4950.0874,4950.0874,108057.8243,36383.1424
000010.SZ,20000104,7.47,0.5182,0.5182,0.84,46.9471,1217.0371,6.1718,2.5954,2.1614,,,14701.7448,4950.0874,4950.0874,109822.0337,36977.1529
000010.SZ,20000105,7.58,1.1434,1.1434,1.83,47.6384,1234.9587,6.2626,2.6336,2.1933,,,14701.7448,4950.0874,4950.0874,111439.2256,37521.6625
000010.SZ,20000106,7.78,1.1105,1.1105,1.95,48.8954,1267.5433,6.4279,2.7031,2.2511,,,14701.7448,4950.0874,4950.0874,114379.5745,38511.68
000010.SZ,20000107,8.1,2.861,2.861,4.28,50.9065,1319.6788,6.6923,2.8143,2.3437,,,14701.7448,4950.0874,4950.0874,119084.1329,40095.7079
